AIC,Name,Type,MonthEnd,Code,TA,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthendMidPrice,CurrYrRev,Rev (splits only),Rev (splits only),Shares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolderFunds for share,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,Additional geographic,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,AIC Cat 2,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,FootNote,FairValue,ShareNote
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other , , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Split Capital Trust,Premier Utilities,Ordinary Income,31/01/2007,3353790,61055735,23846023,23846023,0,0,23846023,0,0,23846023,173.75,105647,,,18143433,0,0,0,N/A,1,164,0.68,,Y,37209712,205.09,,,,,205.67,,,,,205.09,,,,,205.67,,,,,3.85,1,22,39,11,0,20,7,1,0,20,79,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,/,0,0,0,0,0,0,0,SSU,,,,,,,,,,,,
Split Capital Trust,Recovery Trust,ZDPs,31/01/2007,3076053,0,3000000,3000000,3000000,3000000,0,0,0,0,162.25,0,,0,9860000,0,0,0,N/A,0,0,,,,15791647,160.16,,,,,,,,,,160.16,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,Recovery Trust,Ordinary Income,31/01/2007,3076031,25345129,18791647,18791647,3000000,3000000,15791647,0,0,18791647,19,0,31966,100,30000000,0,0,0,N/A,3,387,,,N,6553482,21.84,,,,,,,,,,21.84,,,,,,,,,,3.37,3,97,0,0,0,0,0,3,0,88,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,/,3,34,23,31,9,0,0,UGI,,,,,,,,,,,Note - the bid price net asset value to be announced for the Ordinary Income shares is 21.73p with accrued income attributable of 0.11p as at 31st July 2006.,
Split Capital Trust,Rights & Issues,Preference,31/01/2007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,Rights & Issues,Income,31/01/2007,739207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,Rights & Issues,Capital,31/01/2007,739229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Capital Trust,Royal London UK Equity & Income,ZDPs,31/01/2007,3079416,0,50150000,50150000,50150000,50150000,0,0,0,0,160.75,0,,,13039100,0,0,0,N/A,0,0,,,,20474584,157.02,,,,,,,,,,157.02,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,Royal London UK Equity & Income,Income Annuity,31/01/2007,0,0,70624584,70624584,50150000,50150000,20474584,0,0,0,75,1062500,,,30000000,0,0,0,N/A,0,0,,,,22500000,75,,,,,78.54,,,,,75,,,,,78.54,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,
Split Capital Trust,Royal London UK Equity & Income,Ordinary Income,31/01/2007,3079405,122435000,93124584,93124584,50150000,50150000,42974584,0,0,93124584,25.75,58750,,,70000000,0,0,0,N/A,18,418,,,Y,29310416,41.87,,,,,41.96,,,,,41.87,,,,,41.96,,,,,2.73,18,82,0,0,0,0,0,0,18,74,0,0,8,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,UGI,,,,,,,,,,,,Fair value of bank loan calculated by discounting future cash flows at prevailing interest rate.
Split Capital Trust,Small Companies Dividend,ZDPs,31/01/2007,661593,0,9069733,9069733,9069733,9069733,0,0,0,0,181.5,0,,0,6250000,0,0,0,N/A,0,0,,,,11324912,181.2,,,,,,,,,,181.2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,USC,,,,,,,,,,,,
Split Capital Trust,Small Companies Dividend,Ordinary Income,31/01/2007,661582,61391550,20394645,20394645,9069733,9069733,11324912,0,0,20394645,233.75,311195,1283996,100,16250000,0,0,0,N/A,-1,150,,,Y,40996905,252.29,,,,,254.2,,,,,252.29,,,,,254.2,,,,,4.54,-1,101,0,0,0,0,0,-1,0,101,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,-1,8,11,38,21,23,0,USC,,,,,,,,,,,,,
Split Capital Trust,Smaller Companies Value Trust,Income,31/01/2007,3152845,0,8126824,8126824,8126824,8126824,0,0,0,0,64.5,601053,,,20317060,0,0,0,N/A,0,0,,,,10235159,50.38,,,,,53.34,,,,,50.38,,,,,53.34,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,USC,,,,,,,,,,,,,
Split Capital Trust,Smaller Companies Value Trust,Capital,31/01/2007,3152856,60212081,18361983,18361983,8126824,8126824,10235159,0,0,18361983,179,0,,,20317060,0,0,0,N/A,-1,144,,,N,41850098,205.99,,,,,,,,,,205.99,,,,,,,,,,1.94,-1,101,0,0,0,0,0,-1,0,101,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,-1,0,58,43,0,0,0,USC,Smaller Companies Value Units,0,256.36,256.37,116,,,,,,,,
Split Capital Trust,US Special Opportunities,ZDPs,31/01/2007,3031290,0,34986946,34681356,34986946,34681356,0,0,0,0,167.5,0,,0,13799000,0,0,0,N/A,0,0,,,,22521626,163.21,,,,,,,,,,163.21,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NAS,,,,,,,,,,,,,
Split Capital Trust,US Special Opportunities,Income,31/01/2007,3031331,0,57508572,57202982,34986946,34681356,22521626,0,0,0,86.75,506924,,100,49670000,0,0,0,N/A,0,0,,,,49461163,99.58,,,,,100.6,,,,,99.58,,,,,100.6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NAS,,,,,,,,,,,,,
Split Capital Trust,US Special Opportunities,Capital,31/01/2007,3031319,115786096,106969735,106664145,34986946,34681356,71982789,0,0,106969735,19.5,0,1274006,0,50000000,0,0,0,N/A,34,1313,15.8,,Y,8816361,17.63,,,,,,,,,,18.24,,,,,,,,,,2.76,34,9,1,54,0,2,0,21,13,0,56,0,5,5,16,0,84,0,0,0,0,0,0,0,0,0,/,22,12,0,0,64,2,74,NAS,US Special Opps Grd Units,0,117.21,117.82,199,,,,,,,"Fair values are based on valuations provided by the bank.
The total asset figure has been adjusted for the gain on the currency swap at 31/01/07",
Split Capital Trust,Utilico,ZDPs,31/01/2007,B00JZX4,0,44423000,44423000,44423000,44423000,0,0,0,0,126.25,0,,0,45444137,0,0,0,N/A,0,0,,,,54679650,120.32,,,,,,,,,,120.32,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,SSU,,,,,,,,,,,,,
Split Capital Trust,Utilico,Ordinary Income,31/01/2007,B00KTN5,341395000,99102650,99102650,44423000,44423000,54679650,19958502,37521984,119061152,256.75,-391910,285545,100,64706093,0,0,0,N/A,-2,154,36,,Y,242292350,343.61,299.9,304.1,272.82,,343,299.39,303.61,272.39,,316.46,277.12,304.1,272.82,,315.86,276.61,303.61,272.39,,1.8,-2,41,19,9,0,33,0,-3,1,41,37,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,SSU,,,,,,,,,,,,Fair and Par are not materially different,
Split Capital Trust,Zero Preference Growth,ZDPs,31/01/2007,822022,0,3270000,3270000,3270000,3270000,0,0,0,0,66.5,0,,0,14209498,0,0,0,N/A,0,0,,,,8901701,62.65,,,,,,,,,,62.65,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,SZD,,,,,,,,,,,,,
Split Capital Trust,Zero Preference Growth,Growth,31/01/2007,822196,14748297,12171701,12171701,3270000,3270000,8901701,0,0,12171701,5.13,-252086,-8819017,100,30000000,0,0,0,N/A,9,572,,Y,Y,2576596,,,,,,7.75,,,,,,,,,,7.75,,,,,0.29,9,91,0,0,0,0,0,1,8,0,0,0,4,87,100,0,0,0,0,0,100,0,0,0,0,0,/,0,0,0,0,0,0,0,SZD,Zero Pref Growth Units AIC,0,71.23,62.65,128,,,,,,,"Floating rate loan, so the par value and fair value are not materially ç
different",
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Sector Specialist: Biotechnology/Life Sciences,Finsbury Emerging Biotechnology,Ordinary Share,31/01/2007,38551,80274000,0,0,0,0,0,0,0,0,117,-260000,,,65912263,0,0,0,N/A,-2,100,2,Y,Y,80274000,,,,,,121.39,,,,,,,,,,121.39,,,,,0,-2,3,4,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Sector Specialist: Biotechnology/Life Sciences,Finsbury Worldwide Pharmaceutical,Ordinary Share,31/01/2007,338530,319248452,12363339,12363339,12363339,12363339,0,0,0,12363339,489.5,982178,,,57206881,0,398000,398000,Yes,4,104,1.46,,Y,306885113,536.45,524.97,,,524.76,538.16,526.41,,,526.2,536.45,524.97,,,524.76,538.16,526.41,,,526.2,0.9,4,1,10,74,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,The short term nature of the loans means there is no difference between the par and fair values,"On 16/1/07, 100,000 bought back @ 493p, on 19/01/07, 60,000 bought back @ 493p, 26/01/07, 60,000 bought back at 488p. on 30/01/07, 105,000 bought back @ 489p and on 31/01/07, 73,000 bought back at 489p. All of the shares bought back in January 2007 are being held in Treasury."
Sector Specialist: Biotechnology/Life Sciences,International Biotechnology,Ordinary Share,31/01/2007,455934,74628620,0,0,0,0,0,0,0,0,155.5,0,,,47065467,0,0,0,N/A,10,100,,,Y,74628620,158.56,,,,,,,,,,158.56,,,,,,,,,,0,10,13,15,59,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Sector Specialist: Securitised Debt,Prodesse,Ordinary Share,31/01/2007,B06FN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Sector Specialist: Endowment Policies,Allianz Dresdner Second Endowment 2009,Ordinary Share,31/01/2007,493990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector Specialist: Endowment Policies,Allianz Dresdner Endowment Policy 2010,Ordinary Share,31/01/2007,278175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector Specialist: Endowment Policies,Life Offices Opportunities,Ordinary Share,31/01/2007,529914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Sector Specialist: Financials,Asset Management,Ordinary Share,31/01/2007,58065,34572722,8087054,8087054,8087054,8087054,0,0,0,8087054,105.5,906743,,,21310426,0,0,0,N/A,7,131,,,,26485668,124.29,,,,,128.54,,,,,124.29,,,,,128.54,,,,,5.96,7,33,25,35,0,0,0,0,0,0,0,0,0,0,68,0,32,0,0,0,38,25,37,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Fair value calculated as sterling equivalent of USD denominated loans at closing rate.,
Sector Specialist: Financials,Blue Planet European Financials,Ordinary Share,31/01/2007,532707,49881211,13494516,13494516,13494516,13494516,0,0,0,13494516,201,365616,,,16577069,0,0,0,N/A,6,137,0,,N,36386695,219.5,,,,,221.71,,,,,219.5,,,,,221.71,,,,,2.36,6,0,94,0,0,0,0,0,0,0,0,0,0,0,92,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"The fair value and the par of the 20,350,000 EUR loan is not materially different. During January 2006 the 20,350,000 EUR loan facility was fully drawndown.",
Sector Specialist: Financials,Blue Planet Financials Growth & Income,Ordinary Share,31/01/2007,B1B9C40,68542760,19293058,19293058,19293058,19293058,0,0,0,19293058,27.6,219850,0,,13622600,0,0,0,N/A,1,139,,,N,49249702,361.53,320.21,,,,363.14,321.57,,,,361.53,320.21,,,,363.14,321.57,,,,2.23,1,93,0,0,0,0,6,0,0,0,0,0,0,0,75,23,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,"ç
                                                                              ç
                                                                              ç
","The fair value and Par of the ú7,500,000 sterling and the 17,784,168 EUR loan ç
are not materially different. During January 17,784,168 EUR loan was drawn ç
down equally to the ten trusts.",
Sector Specialist: Financials,Blue Planet Worldwide Financials,Ordinary Share,31/01/2007,152417,50815835,14096107,14096107,14096107,14096107,0,0,0,14096107,279.5,-286211,,,14255151,0,0,0,N/A,5,138,0,,N,36719728,257.59,,,,,255.58,,,,,257.59,,,,,255.58,,,,,1.69,5,0,90,0,0,0,5,0,0,0,0,0,0,0,89,11,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,"The fair values and the par values for the 15,183,723 and 6,073,489 EUR loans are not materially different. During January  21,257,212 EUR was drawndown",
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Sector Specialist: Commodities and Natural Resources,Merrill Lynch Commodities Income,Ordinary Share,31/01/2007,B0N8MF9,88860146,6845813,6845813,6845813,6845813,0,0,0,6845813,100.5,-676444,,,75600000,0,0,0,N/A,1,108,3,,N,82014333,108.48,,,,,107.59,,,,,108.48,,,,,107.59,,,,,3.07,1,12,0,42,0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Sector Specialist: Commodities and Natural Resources,Merrill Lynch World Mining,Ordinary Share,31/01/2007,577485,864324134,9384016,9384016,9384016,9384016,0,0,0,9384016,436.5,14627978,,,168298906,0,0,0,N/A,-2,101,0.75,,N,854940118,507.99,496.49,,,,516.68,503.73,,,,507.99,496.49,,,,516.68,503.73,,,,2.34,-2,26,1,16,0,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Sector Specialist: Commodities and Natural Resources,Resources Investment Trust,Ordinary Share,31/01/2007,3098314,52517022,0,0,0,0,0,0,0,0,225.5,0,,,21300760,0,0,0,N/A,71,100,71,,N,52517022,246.55,,,,,,,,,,246.55,,,,,,,,,,0,71,11,0,16,0,2,0,0,0,0,0,0,0,0,99,0,1,0,0,0,74,0,26,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Sector Specialist: Tech Media & Telecomm,Close Finsbury EuroTech,Ordinary Share,31/01/2007,958477,14789000,0,0,0,0,0,0,0,0,39.5,-298000,,,34200875,0,0,0,N/A,51,100,1,Y,N,14789000,,,,,,42.37,,,,,,,,,,42.37,,,,,0,51,31,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Sector Specialist: Tech Media & Telecomm,Finsbury Technology,Ordinary Share,31/01/2007,339072,58049000,0,0,0,0,0,0,0,0,221.25,-195000,,,24177312,0,83000,0,N/A,6,100,1,Y,Y,58049000,,,,,,239.29,,,,,,,,,,239.29,,,,,0,6,20,19,48,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,"4/1/07 36k shares at 214p,10/1/07 25k shares at 217.25p,17/1/07 22k shares at 220p"
Sector Specialist: Tech Media & Telecomm,Polar Capital Technology,Ordinary Share,31/01/2007,422002,382332677,38054274,38054274,38054274,38054274,0,0,0,38054274,240.25,-1950091,,,139990821,0,0,0,N/A,6,111,,Y,Y,344278403,,,,,,244.54,,,,,,,,,,244.54,,,,,0,6,14,10,50,10,10,0,0,0,0,0,0,0,0,8,7,7,69,9,0,16,11,58,3,11,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Sector Specialist: Liquidity Funds,Invesco Perpetual Select Managed Liquidity,Ordinary Share,31/01/2007,B1DQ670,18418973,0,0,0,0,0,0,0,0,100,0,,,18386589,0,0,0,N/A,41,100,0,,N,18418973,100.18,,,,,,,,,,100.18,,,,,,,,,,7.2,41,59,0,0,0,0,0,0,0,0,0,0,0,0,52,14,20,0,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Sector Specialist: Liquidity Funds,JPMorgan Elect Managed Cash,Ordinary Share,31/01/2007,3408009,27605000,513780,513780,513780,513780,0,0,0,513780,100,179958,,,27034912,0,0,0,N/A,100,102,,,N,27091220,100.21,,,,,100.87,,,,,100.21,,,,,100.87,,,,,4.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
